Case_ID,Timestamp,Src_IP,Dst_IP,Scr_port,Dst_port,Flags,S/C
0,2017/07/07 14:04:13.990571000,192.168.10.9,205.174.165.73,1841,8080,000.SYN.,C
0,2017/07/07 14:04:13.991397000,205.174.165.73,192.168.10.9,8080,1841,000.ACK.SYN.,S
0,2017/07/07 14:04:13.991520000,192.168.10.9,205.174.165.73,1841,8080,000.ACK.,C
0,2017/07/07 14:04:13.992542000,192.168.10.9,205.174.165.73,1841,8080,000.ACK.PSH.,C
0,2017/07/07 14:04:13.993057000,205.174.165.73,192.168.10.9,8080,1841,000.ACK.,S
0,2017/07/07 14:04:14.124180000,205.174.165.73,192.168.10.9,8080,1841,000.ACK.PSH.,S
0,2017/07/07 14:04:14.125383000,192.168.10.9,205.174.165.73,1841,8080,000.ACK.FIN.,C
0,2017/07/07 14:04:14.125929000,205.174.165.73,192.168.10.9,8080,1841,000.ACK.FIN.,S
0,2017/07/07 14:04:14.126013000,192.168.10.9,205.174.165.73,1841,8080,000.ACK.,C
1,2017/07/07 14:04:24.131090000,192.168.10.9,205.174.165.73,1845,8080,000.SYN.,C
1,2017/07/07 14:04:24.131760000,205.174.165.73,192.168.10.9,8080,1845,000.ACK.SYN.,S
1,2017/07/07 14:04:24.131835000,192.168.10.9,205.174.165.73,1845,8080,000.ACK.,C
1,2017/07/07 14:04:24.132939000,192.168.10.9,205.174.165.73,1845,8080,000.ACK.PSH.,C
1,2017/07/07 14:04:24.133461000,205.174.165.73,192.168.10.9,8080,1845,000.ACK.,S
1,2017/07/07 14:04:24.257747000,205.174.165.73,192.168.10.9,8080,1845,000.ACK.PSH.,S
1,2017/07/07 14:04:24.258871000,192.168.10.9,205.174.165.73,1845,8080,000.ACK.FIN.,C
1,2017/07/07 14:04:24.259675000,205.174.165.73,192.168.10.9,8080,1845,000.ACK.FIN.,S
1,2017/07/07 14:04:24.259708000,192.168.10.9,205.174.165.73,1845,8080,000.ACK.,C
2,2017/07/07 14:04:34.262355000,192.168.10.9,205.174.165.73,1846,8080,000.SYN.,C
2,2017/07/07 14:04:34.262841000,205.174.165.73,192.168.10.9,8080,1846,000.ACK.SYN.,S
2,2017/07/07 14:04:34.262920000,192.168.10.9,205.174.165.73,1846,8080,000.ACK.,C
2,2017/07/07 14:04:34.262963000,192.168.10.9,205.174.165.73,1846,8080,000.ACK.PSH.,C
2,2017/07/07 14:04:34.263410000,205.174.165.73,192.168.10.9,8080,1846,000.ACK.,S
2,2017/07/07 14:04:34.427107000,205.174.165.73,192.168.10.9,8080,1846,000.ACK.PSH.,S
2,2017/07/07 14:04:34.427311000,205.174.165.73,192.168.10.9,8080,1846,000.ACK.PSH.,S
2,2017/07/07 14:04:34.427450000,192.168.10.9,205.174.165.73,1846,8080,000.ACK.,C
2,2017/07/07 14:04:34.428165000,192.168.10.9,205.174.165.73,1846,8080,000.ACK.FIN.,C
2,2017/07/07 14:04:34.428710000,205.174.165.73,192.168.10.9,8080,1846,000.ACK.FIN.,S
2,2017/07/07 14:04:34.428752000,192.168.10.9,205.174.165.73,1846,8080,000.ACK.,C
3,2017/07/07 14:04:34.526581000,192.168.10.9,205.174.165.73,1847,8080,000.SYN.,C
3,2017/07/07 14:04:34.527325000,205.174.165.73,192.168.10.9,8080,1847,000.ACK.SYN.,S
3,2017/07/07 14:04:34.527380000,192.168.10.9,205.174.165.73,1847,8080,000.ACK.,C
3,2017/07/07 14:04:34.527456000,192.168.10.9,205.174.165.73,1847,8080,000.ACK.PSH.,C
3,2017/07/07 14:04:34.528342000,205.174.165.73,192.168.10.9,8080,1847,000.ACK.,S
3,2017/07/07 14:04:34.590575000,205.174.165.73,192.168.10.9,8080,1847,000.ACK.PSH.,S
3,2017/07/07 14:04:34.591614000,192.168.10.9,205.174.165.73,1847,8080,000.ACK.FIN.,C
3,2017/07/07 14:04:34.592130000,205.174.165.73,192.168.10.9,8080,1847,000.ACK.FIN.,S
3,2017/07/07 14:04:34.592159000,192.168.10.9,205.174.165.73,1847,8080,000.ACK.,C
4,2017/07/07 14:04:44.594895000,192.168.10.9,205.174.165.73,1848,8080,000.SYN.,C
4,2017/07/07 14:04:44.595483000,205.174.165.73,192.168.10.9,8080,1848,000.ACK.SYN.,S
4,2017/07/07 14:04:44.595625000,192.168.10.9,205.174.165.73,1848,8080,000.ACK.,C
4,2017/07/07 14:04:44.595666000,192.168.10.9,205.174.165.73,1848,8080,000.ACK.PSH.,C
4,2017/07/07 14:04:44.596120000,205.174.165.73,192.168.10.9,8080,1848,000.ACK.,S
4,2017/07/07 14:04:44.673912000,205.174.165.73,192.168.10.9,8080,1848,000.ACK.PSH.,S
4,2017/07/07 14:04:44.675000000,192.168.10.9,205.174.165.73,1848,8080,000.ACK.FIN.,C
4,2017/07/07 14:04:44.675767000,205.174.165.73,192.168.10.9,8080,1848,000.ACK.FIN.,S
4,2017/07/07 14:04:44.675789000,192.168.10.9,205.174.165.73,1848,8080,000.ACK.,C
5,2017/07/07 14:04:54.742598000,192.168.10.9,205.174.165.73,1851,8080,000.SYN.,C
5,2017/07/07 14:04:54.743205000,205.174.165.73,192.168.10.9,8080,1851,000.ACK.SYN.,S
5,2017/07/07 14:04:54.743264000,192.168.10.9,205.174.165.73,1851,8080,000.ACK.,C
5,2017/07/07 14:04:54.743283000,192.168.10.9,205.174.165.73,1851,8080,000.ACK.PSH.,C
5,2017/07/07 14:04:54.743783000,205.174.165.73,192.168.10.9,8080,1851,000.ACK.,S
5,2017/07/07 14:04:54.823853000,205.174.165.73,192.168.10.9,8080,1851,000.ACK.PSH.,S
5,2017/07/07 14:04:54.824648000,192.168.10.9,205.174.165.73,1851,8080,000.ACK.FIN.,C
5,2017/07/07 14:04:54.825275000,205.174.165.73,192.168.10.9,8080,1851,000.ACK.FIN.,S
5,2017/07/07 14:04:54.825298000,192.168.10.9,205.174.165.73,1851,8080,000.ACK.,C
6,2017/07/07 14:05:04.842957000,192.168.10.9,205.174.165.73,1852,8080,000.SYN.,C
6,2017/07/07 14:05:04.843735000,205.174.165.73,192.168.10.9,8080,1852,000.ACK.SYN.,S
6,2017/07/07 14:05:04.843870000,192.168.10.9,205.174.165.73,1852,8080,000.ACK.,C
6,2017/07/07 14:05:04.843929000,192.168.10.9,205.174.165.73,1852,8080,000.ACK.PSH.,C
6,2017/07/07 14:05:04.844397000,205.174.165.73,192.168.10.9,8080,1852,000.ACK.,S
6,2017/07/07 14:05:04.932244000,205.174.165.73,192.168.10.9,8080,1852,000.ACK.PSH.,S
6,2017/07/07 14:05:04.933313000,192.168.10.9,205.174.165.73,1852,8080,000.ACK.FIN.,C
6,2017/07/07 14:05:04.934117000,205.174.165.73,192.168.10.9,8080,1852,000.ACK.FIN.,S
6,2017/07/07 14:05:04.934155000,192.168.10.9,205.174.165.73,1852,8080,000.ACK.,C
7,2017/07/07 14:05:14.938948000,192.168.10.9,205.174.165.73,1853,8080,000.SYN.,C
7,2017/07/07 14:05:14.939628000,205.174.165.73,192.168.10.9,8080,1853,000.ACK.SYN.,S
7,2017/07/07 14:05:14.939768000,192.168.10.9,205.174.165.73,1853,8080,000.ACK.,C
7,2017/07/07 14:05:14.939808000,192.168.10.9,205.174.165.73,1853,8080,000.ACK.PSH.,C
7,2017/07/07 14:05:14.940285000,205.174.165.73,192.168.10.9,8080,1853,000.ACK.,S
7,2017/07/07 14:05:15.015480000,205.174.165.73,192.168.10.9,8080,1853,000.ACK.PSH.,S
7,2017/07/07 14:05:15.016462000,192.168.10.9,205.174.165.73,1853,8080,000.ACK.FIN.,C
7,2017/07/07 14:05:15.017264000,205.174.165.73,192.168.10.9,8080,1853,000.ACK.FIN.,S
7,2017/07/07 14:05:15.017347000,192.168.10.9,205.174.165.73,1853,8080,000.ACK.,C
8,2017/07/07 14:05:25.032030000,192.168.10.9,205.174.165.73,1854,8080,000.SYN.,C
8,2017/07/07 14:05:25.032747000,205.174.165.73,192.168.10.9,8080,1854,000.ACK.SYN.,S
8,2017/07/07 14:05:25.032878000,192.168.10.9,205.174.165.73,1854,8080,000.ACK.,C
8,2017/07/07 14:05:25.032921000,192.168.10.9,205.174.165.73,1854,8080,000.ACK.PSH.,C
8,2017/07/07 14:05:25.033363000,205.174.165.73,192.168.10.9,8080,1854,000.ACK.,S
8,2017/07/07 14:05:25.106717000,205.174.165.73,192.168.10.9,8080,1854,000.ACK.PSH.,S
8,2017/07/07 14:05:25.107658000,192.168.10.9,205.174.165.73,1854,8080,000.ACK.FIN.,C
8,2017/07/07 14:05:25.108233000,205.174.165.73,192.168.10.9,8080,1854,000.ACK.FIN.,S
8,2017/07/07 14:05:25.108328000,192.168.10.9,205.174.165.73,1854,8080,000.ACK.,C
9,2017/07/07 14:05:35.125218000,192.168.10.9,205.174.165.73,1857,8080,000.SYN.,C
9,2017/07/07 14:05:35.125675000,205.174.165.73,192.168.10.9,8080,1857,000.ACK.SYN.,S
9,2017/07/07 14:05:35.125806000,192.168.10.9,205.174.165.73,1857,8080,000.ACK.,C
9,2017/07/07 14:05:35.125863000,192.168.10.9,205.174.165.73,1857,8080,000.ACK.PSH.,C
9,2017/07/07 14:05:35.126319000,205.174.165.73,192.168.10.9,8080,1857,000.ACK.,S
9,2017/07/07 14:05:35.206930000,205.174.165.73,192.168.10.9,8080,1857,000.ACK.PSH.,S
9,2017/07/07 14:05:35.207964000,192.168.10.9,205.174.165.73,1857,8080,000.ACK.FIN.,C
9,2017/07/07 14:05:35.208521000,205.174.165.73,192.168.10.9,8080,1857,000.ACK.FIN.,S
9,2017/07/07 14:05:35.208615000,192.168.10.9,205.174.165.73,1857,8080,000.ACK.,C
10,2017/07/07 14:05:45.218302000,192.168.10.9,205.174.165.73,1858,8080,000.SYN.,C
10,2017/07/07 14:05:45.218731000,205.174.165.73,192.168.10.9,8080,1858,000.ACK.SYN.,S
10,2017/07/07 14:05:45.218859000,192.168.10.9,205.174.165.73,1858,8080,000.ACK.,C
10,2017/07/07 14:05:45.218908000,192.168.10.9,205.174.165.73,1858,8080,000.ACK.PSH.,C
10,2017/07/07 14:05:45.219373000,205.174.165.73,192.168.10.9,8080,1858,000.ACK.,S
10,2017/07/07 14:05:45.298396000,205.174.165.73,192.168.10.9,8080,1858,000.ACK.PSH.,S
10,2017/07/07 14:05:45.299286000,192.168.10.9,205.174.165.73,1858,8080,000.ACK.FIN.,C
10,2017/07/07 14:05:45.299978000,205.174.165.73,192.168.10.9,8080,1858,000.ACK.FIN.,S
10,2017/07/07 14:05:45.300068000,192.168.10.9,205.174.165.73,1858,8080,000.ACK.,C
11,2017/07/07 14:05:55.311477000,192.168.10.9,205.174.165.73,1859,8080,000.SYN.,C
11,2017/07/07 14:05:55.312059000,205.174.165.73,192.168.10.9,8080,1859,000.ACK.SYN.,S
11,2017/07/07 14:05:55.312196000,192.168.10.9,205.174.165.73,1859,8080,000.ACK.,C
11,2017/07/07 14:05:55.312236000,192.168.10.9,205.174.165.73,1859,8080,000.ACK.PSH.,C
11,2017/07/07 14:05:55.312718000,205.174.165.73,192.168.10.9,8080,1859,000.ACK.,S
11,2017/07/07 14:05:55.389783000,205.174.165.73,192.168.10.9,8080,1859,000.ACK.PSH.,S
11,2017/07/07 14:05:55.390802000,192.168.10.9,205.174.165.73,1859,8080,000.ACK.FIN.,C
11,2017/07/07 14:05:55.391378000,205.174.165.73,192.168.10.9,8080,1859,000.ACK.FIN.,S
11,2017/07/07 14:05:55.391414000,192.168.10.9,205.174.165.73,1859,8080,000.ACK.,C
12,2017/07/07 14:06:05.417740000,192.168.10.9,205.174.165.73,1860,8080,000.SYN.,C
12,2017/07/07 14:06:05.418314000,205.174.165.73,192.168.10.9,8080,1860,000.ACK.SYN.,S
12,2017/07/07 14:06:05.418418000,192.168.10.9,205.174.165.73,1860,8080,000.ACK.,C
12,2017/07/07 14:06:05.418514000,192.168.10.9,205.174.165.73,1860,8080,000.ACK.PSH.,C
12,2017/07/07 14:06:05.419053000,205.174.165.73,192.168.10.9,8080,1860,000.ACK.,S
12,2017/07/07 14:06:05.490111000,205.174.165.73,192.168.10.9,8080,1860,000.ACK.PSH.,S
12,2017/07/07 14:06:05.491104000,192.168.10.9,205.174.165.73,1860,8080,000.ACK.FIN.,C
12,2017/07/07 14:06:05.491840000,205.174.165.73,192.168.10.9,8080,1860,000.ACK.FIN.,S
12,2017/07/07 14:06:05.491890000,192.168.10.9,205.174.165.73,1860,8080,000.ACK.,C
13,2017/07/07 14:06:15.497713000,192.168.10.9,205.174.165.73,1861,8080,000.SYN.,C
13,2017/07/07 14:06:15.498545000,205.174.165.73,192.168.10.9,8080,1861,000.ACK.SYN.,S
13,2017/07/07 14:06:15.498675000,192.168.10.9,205.174.165.73,1861,8080,000.ACK.,C
13,2017/07/07 14:06:15.498750000,192.168.10.9,205.174.165.73,1861,8080,000.ACK.PSH.,C
13,2017/07/07 14:06:15.499261000,205.174.165.73,192.168.10.9,8080,1861,000.ACK.,S
13,2017/07/07 14:06:15.589939000,205.174.165.73,192.168.10.9,8080,1861,000.ACK.PSH.,S
13,2017/07/07 14:06:15.590815000,192.168.10.9,205.174.165.73,1861,8080,000.ACK.FIN.,C
13,2017/07/07 14:06:15.591346000,205.174.165.73,192.168.10.9,8080,1861,000.ACK.FIN.,S
13,2017/07/07 14:06:15.591436000,192.168.10.9,205.174.165.73,1861,8080,000.ACK.,C
14,2017/07/07 14:06:25.591360000,192.168.10.9,205.174.165.73,1991,8080,000.SYN.,C
14,2017/07/07 14:06:25.591891000,205.174.165.73,192.168.10.9,8080,1991,000.ACK.SYN.,S
14,2017/07/07 14:06:25.592028000,192.168.10.9,205.174.165.73,1991,8080,000.ACK.,C
14,2017/07/07 14:06:25.592074000,192.168.10.9,205.174.165.73,1991,8080,000.ACK.PSH.,C
14,2017/07/07 14:06:25.592551000,205.174.165.73,192.168.10.9,8080,1991,000.ACK.,S
14,2017/07/07 14:06:25.664536000,205.174.165.73,192.168.10.9,8080,1991,000.ACK.PSH.,S
14,2017/07/07 14:06:25.665618000,192.168.10.9,205.174.165.73,1991,8080,000.ACK.FIN.,C
14,2017/07/07 14:06:25.666177000,205.174.165.73,192.168.10.9,8080,1991,000.ACK.FIN.,S
14,2017/07/07 14:06:25.666206000,192.168.10.9,205.174.165.73,1991,8080,000.ACK.,C
15,2017/07/07 14:06:35.668879000,192.168.10.9,205.174.165.73,1993,8080,000.SYN.,C
15,2017/07/07 14:06:35.669536000,205.174.165.73,192.168.10.9,8080,1993,000.ACK.SYN.,S
15,2017/07/07 14:06:35.669647000,192.168.10.9,205.174.165.73,1993,8080,000.ACK.,C
15,2017/07/07 14:06:35.669717000,192.168.10.9,205.174.165.73,1993,8080,000.ACK.PSH.,C
15,2017/07/07 14:06:35.670226000,205.174.165.73,192.168.10.9,8080,1993,000.ACK.,S
15,2017/07/07 14:06:35.748275000,205.174.165.73,192.168.10.9,8080,1993,000.ACK.PSH.,S
15,2017/07/07 14:06:35.749337000,192.168.10.9,205.174.165.73,1993,8080,000.ACK.FIN.,C
15,2017/07/07 14:06:35.750142000,205.174.165.73,192.168.10.9,8080,1993,000.ACK.FIN.,S
15,2017/07/07 14:06:35.750146000,192.168.10.9,205.174.165.73,1993,8080,000.ACK.,C
16,2017/07/07 14:06:54.961923000,192.168.10.15,205.174.165.73,51930,8080,000.SYN.,C
16,2017/07/07 14:06:54.962488000,205.174.165.73,192.168.10.15,8080,51930,000.ACK.SYN.,S
