Case_ID,Timestamp,Src_IP,Dst_IP,Scr_port,Dst_port,Flags,S/C
0,2017/07/06 18:53:36.453990000,192.168.10.25,205.174.165.73,51325,444,000.SYN.,C
0,2017/07/06 18:53:36.454794000,205.174.165.73,192.168.10.25,444,51325,000.ACK.SYN.,S
0,2017/07/06 18:53:36.454940000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.500025000,205.174.165.73,192.168.10.25,444,51325,000.ACK.PSH.,S
0,2017/07/06 18:53:36.500155000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.500855000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501076000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501124000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501215000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.501353000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501488000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.501545000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501644000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.501738000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.501930000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.502004000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.502121000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.502151000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.502344000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.502511000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.502535000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.502653000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.502728000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.502920000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503072000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.503112000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503114000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503174000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.503358000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503549000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503624000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.503726000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.503742000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.503907000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.503934000,205.174.165.73,192.168.10.25,444,51325,000.ACK.,S
0,2017/07/06 18:53:36.504127000,205.174.165.73,192.168.10.25,444,51325,000.ACK.PSH.,S
0,2017/07/06 18:53:36.504148000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:36.965816000,205.174.165.73,192.168.10.25,444,51325,000.ACK.PSH.,S
0,2017/07/06 18:53:36.965985000,192.168.10.25,205.174.165.73,51325,444,000.ACK.,C
0,2017/07/06 18:53:37.009828000,192.168.10.25,205.174.165.73,51325,444,000.ACK.PSH.,C
