Case_ID,Timestamp,Src_IP,Dst_IP,Scr_port,Dst_port,Flags,S/C
0,2017/07/06 13:15:54.880049000,172.16.0.1,192.168.10.50,44380,80,000.SYN.,C
0,2017/07/06 13:15:54.880163000,192.168.10.50,172.16.0.1,80,44380,000.ACK.SYN.,S
0,2017/07/06 13:15:54.880969000,172.16.0.1,192.168.10.50,44380,80,000.ACK.,C
0,2017/07/06 13:15:54.880973000,172.16.0.1,192.168.10.50,44380,80,000.ACK.PSH.,C
0,2017/07/06 13:15:54.881042000,192.168.10.50,172.16.0.1,80,44380,000.ACK.,S
0,2017/07/06 13:15:55.021499000,192.168.10.50,172.16.0.1,80,44380,000.ACK.PSH.,S
0,2017/07/06 13:15:55.022407000,172.16.0.1,192.168.10.50,44380,80,000.ACK.,C
0,2017/07/06 13:15:55.023433000,172.16.0.1,192.168.10.50,44380,80,000.ACK.PSH.,C
0,2017/07/06 13:15:55.023458000,192.168.10.50,172.16.0.1,80,44380,000.ACK.,S
0,2017/07/06 13:15:55.030072000,192.168.10.50,172.16.0.1,80,44380,000.ACK.PSH.,S
0,2017/07/06 13:15:55.041334000,172.16.0.1,192.168.10.50,44380,80,000.ACK.PSH.,C
1,2017/07/06 13:15:55.042962000,172.16.0.1,192.168.10.50,44382,80,000.SYN.,C
1,2017/07/06 13:15:55.043094000,192.168.10.50,172.16.0.1,80,44382,000.ACK.SYN.,S
1,2017/07/06 13:15:55.043765000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
0,2017/07/06 13:15:55.063619000,192.168.10.50,172.16.0.1,80,44380,000.ACK.PSH.,S
1,2017/07/06 13:15:55.064590000,172.16.0.1,192.168.10.50,44382,80,000.ACK.PSH.,C
1,2017/07/06 13:15:55.064718000,192.168.10.50,172.16.0.1,80,44382,000.ACK.,S
1,2017/07/06 13:15:55.078075000,192.168.10.50,172.16.0.1,80,44382,000.ACK.,S
1,2017/07/06 13:15:55.078111000,192.168.10.50,172.16.0.1,80,44382,000.ACK.,S
1,2017/07/06 13:15:55.078151000,192.168.10.50,172.16.0.1,80,44382,000.ACK.,S
1,2017/07/06 13:15:55.078341000,192.168.10.50,172.16.0.1,80,44382,000.ACK.PSH.,S
1,2017/07/06 13:15:55.078886000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
1,2017/07/06 13:15:55.079078000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
1,2017/07/06 13:15:55.079428000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
1,2017/07/06 13:15:55.079703000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
1,2017/07/06 13:15:55.086403000,172.16.0.1,192.168.10.50,44382,80,000.ACK.PSH.,C
1,2017/07/06 13:15:55.099279000,192.168.10.50,172.16.0.1,80,44382,000.ACK.PSH.,S
0,2017/07/06 13:15:55.101211000,172.16.0.1,192.168.10.50,44380,80,000.ACK.,C
1,2017/07/06 13:15:55.137212000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
0,2017/07/06 13:16:00.065167000,192.168.10.50,172.16.0.1,80,44380,000.ACK.FIN.,S
0,2017/07/06 13:16:00.065892000,172.16.0.1,192.168.10.50,44380,80,000.ACK.FIN.,C
0,2017/07/06 13:16:00.065973000,192.168.10.50,172.16.0.1,80,44380,000.ACK.,S
1,2017/07/06 13:16:00.100336000,172.16.0.1,192.168.10.50,44382,80,000.ACK.FIN.,C
1,2017/07/06 13:16:00.100536000,192.168.10.50,172.16.0.1,80,44382,000.ACK.FIN.,S
1,2017/07/06 13:16:00.101248000,172.16.0.1,192.168.10.50,44382,80,000.ACK.,C
2,2017/07/06 13:16:01.135747000,172.16.0.1,192.168.10.50,44384,80,000.SYN.,C
2,2017/07/06 13:16:01.135889000,192.168.10.50,172.16.0.1,80,44384,000.ACK.SYN.,S
2,2017/07/06 13:16:01.136459000,172.16.0.1,192.168.10.50,44384,80,000.ACK.,C
2,2017/07/06 13:16:01.136782000,172.16.0.1,192.168.10.50,44384,80,000.ACK.PSH.,C
2,2017/07/06 13:16:01.136923000,192.168.10.50,172.16.0.1,80,44384,000.ACK.,S
2,2017/07/06 13:16:01.401880000,192.168.10.50,172.16.0.1,80,44384,000.ACK.PSH.,S
2,2017/07/06 13:16:01.402425000,172.16.0.1,192.168.10.50,44384,80,000.ACK.,C
2,2017/07/06 13:16:01.403549000,172.16.0.1,192.168.10.50,44384,80,000.ACK.PSH.,C
2,2017/07/06 13:16:01.403595000,192.168.10.50,172.16.0.1,80,44384,000.ACK.,S
2,2017/07/06 13:16:01.406096000,192.168.10.50,172.16.0.1,80,44384,000.ACK.PSH.,S
2,2017/07/06 13:16:01.444954000,172.16.0.1,192.168.10.50,44384,80,000.ACK.,C
2,2017/07/06 13:16:06.406870000,172.16.0.1,192.168.10.50,44384,80,000.ACK.FIN.,C
2,2017/07/06 13:16:06.407019000,192.168.10.50,172.16.0.1,80,44384,000.ACK.FIN.,S
2,2017/07/06 13:16:06.407596000,172.16.0.1,192.168.10.50,44384,80,000.ACK.,C
3,2017/07/06 13:16:07.422934000,172.16.0.1,192.168.10.50,44386,80,000.SYN.,C
3,2017/07/06 13:16:07.423048000,192.168.10.50,172.16.0.1,80,44386,000.ACK.SYN.,S
3,2017/07/06 13:16:07.423898000,172.16.0.1,192.168.10.50,44386,80,000.ACK.,C
3,2017/07/06 13:16:07.423916000,172.16.0.1,192.168.10.50,44386,80,000.ACK.PSH.,C
3,2017/07/06 13:16:07.423982000,192.168.10.50,172.16.0.1,80,44386,000.ACK.,S
