Case_ID,Timestamp,Src_IP,Dst_IP,Scr_port,Dst_port,Flags,S/C
0,2017/07/05 18:52:55.240247000,172.16.0.1,192.168.10.51,44904,444,000.SYN.,C
0,2017/07/05 18:52:55.240294000,192.168.10.51,172.16.0.1,444,44904,000.ACK.SYN.,S
0,2017/07/05 18:52:55.241591000,172.16.0.1,192.168.10.51,44904,444,000.ACK.,C
0,2017/07/05 18:52:55.243210000,172.16.0.1,192.168.10.51,44904,444,000.ACK.PSH.,C
0,2017/07/05 18:52:55.243273000,192.168.10.51,172.16.0.1,444,44904,000.ACK.,S
0,2017/07/05 18:52:58.124378000,172.16.0.1,192.168.10.51,44904,444,000.ACK.FIN.,C
0,2017/07/05 18:52:58.163264000,192.168.10.51,172.16.0.1,444,44904,000.ACK.,S
0,2017/07/05 18:53:00.282458000,192.168.10.51,172.16.0.1,444,44904,000.ACK.PSH.,S
0,2017/07/05 18:53:00.282791000,192.168.10.51,172.16.0.1,444,44904,000.ACK.FIN.,S
0,2017/07/05 18:53:00.283187000,172.16.0.1,192.168.10.51,44904,444,000.RST.,C
1,2017/07/05 18:53:13.871638000,172.16.0.1,192.168.10.51,44906,444,000.SYN.,C
1,2017/07/05 18:53:13.871668000,192.168.10.51,172.16.0.1,444,44906,000.ACK.SYN.,S
1,2017/07/05 18:53:13.872459000,172.16.0.1,192.168.10.51,44906,444,000.ACK.,C
1,2017/07/05 18:53:13.873819000,172.16.0.1,192.168.10.51,44906,444,000.ACK.PSH.,C
1,2017/07/05 18:53:13.873836000,192.168.10.51,172.16.0.1,444,44906,000.ACK.,S
1,2017/07/05 18:53:15.692228000,172.16.0.1,192.168.10.51,44906,444,000.ACK.FIN.,C
1,2017/07/05 18:53:15.731144000,192.168.10.51,172.16.0.1,444,44906,000.ACK.,S
1,2017/07/05 18:53:18.882591000,192.168.10.51,172.16.0.1,444,44906,000.ACK.PSH.,S
1,2017/07/05 18:53:18.882695000,192.168.10.51,172.16.0.1,444,44906,000.ACK.FIN.,S
1,2017/07/05 18:53:18.883144000,172.16.0.1,192.168.10.51,44906,444,000.RST.,C
2,2017/07/05 18:59:47.380171000,172.16.0.1,192.168.10.51,44912,444,000.SYN.,C
2,2017/07/05 18:59:47.380196000,192.168.10.51,172.16.0.1,444,44912,000.ACK.SYN.,S
2,2017/07/05 18:59:47.380967000,172.16.0.1,192.168.10.51,44912,444,000.ACK.,C
2,2017/07/05 18:59:49.424393000,172.16.0.1,192.168.10.51,44912,444,000.ACK.PSH.,C
2,2017/07/05 18:59:49.424436000,192.168.10.51,172.16.0.1,444,44912,000.ACK.,S
2,2017/07/05 18:59:52.728287000,172.16.0.1,192.168.10.51,44912,444,000.ACK.PSH.,C
2,2017/07/05 18:59:52.728347000,192.168.10.51,172.16.0.1,444,44912,000.ACK.,S
2,2017/07/05 18:59:54.000418000,172.16.0.1,192.168.10.51,44912,444,000.ACK.PSH.,C
2,2017/07/05 18:59:54.000481000,192.168.10.51,172.16.0.1,444,44912,000.ACK.,S
2,2017/07/05 18:59:54.000526000,192.168.10.51,172.16.0.1,444,44912,000.ACK.FIN.,S
2,2017/07/05 18:59:54.000574000,192.168.10.51,172.16.0.1,444,44912,000.ACK.RST.,S
3,2017/07/05 19:09:50.636311000,172.16.0.1,192.168.10.51,44990,444,000.SYN.,C
3,2017/07/05 19:09:50.636371000,192.168.10.51,172.16.0.1,444,44990,000.ACK.SYN.,S
3,2017/07/05 19:09:50.636946000,172.16.0.1,192.168.10.51,44990,444,000.ACK.,C
3,2017/07/05 19:09:50.638505000,172.16.0.1,192.168.10.51,44990,444,000.ACK.PSH.,C
3,2017/07/05 19:09:50.638553000,192.168.10.51,172.16.0.1,444,44990,000.ACK.,S
3,2017/07/05 19:09:52.800876000,172.16.0.1,192.168.10.51,44990,444,000.ACK.FIN.,C
3,2017/07/05 19:09:52.838422000,192.168.10.51,172.16.0.1,444,44990,000.ACK.,S
4,2017/07/05 19:09:54.892192000,172.16.0.1,192.168.10.51,44992,444,000.SYN.,C
4,2017/07/05 19:09:54.892241000,192.168.10.51,172.16.0.1,444,44992,000.ACK.SYN.,S
4,2017/07/05 19:09:54.892853000,172.16.0.1,192.168.10.51,44992,444,000.ACK.,C
3,2017/07/05 19:09:55.663475000,192.168.10.51,172.16.0.1,444,44990,000.ACK.PSH.,S
3,2017/07/05 19:09:55.663789000,192.168.10.51,172.16.0.1,444,44990,000.ACK.FIN.,S
